Ticker,Name,OtherName,Sector,Industry,Sub-Industry
AEYE,AudioEye,AudioEye,Technology,Software,Application
AEZS,Aeterna Zentaris,Aeterna Zentaris,Healthcare,Biotechnology,
AFBI,Affinity Bancshares,Affinity Bancshares,Financial Services,Banks,Regional
AFCG,AFC Gamma,AFC Gamma,Real Estate,REIT,Specialty
AFFS,AmTrust Financial Services,AmTrust Financial Services,,,
AFG,American Financial Group,American Financial Group,Financial Services,Insurance,Property & Casualty
AFL,Aflac Incorporated,Aflac,Financial Services,Insurance,Life
AFRM,Affirm Holdings,Affirm,Technology,Software,Infrastructure
AGCO,AGCO,AGCO,Industrials,Farm & Heavy Construction Machinery,
AGEN,Agenus,Agenus,Healthcare,Biotechnology,
AGFY,Agrify,Agrify,Industrials,Farm & Heavy Construction Machinery,
AGIO,Agios Pharmaceuticals,Agios Pharmaceuticals,Healthcare,Biotechnology,
AGL,agilon health,Agilon Health,Healthcare,Medical Care Facilities,
AGM,Federal Agricultural Mortgage,Federal Agricultural Mortgage,Financial Services,Credit Services,
AGNC,AGNC Investment,AGNC Investment,Real Estate,REIT,Mortgage
AGR,Avangrid,Avangrid,Utilities,Utilities,Regulated Electric
AGRX,Agile Therapeutics,Agile Therapeutics,Healthcare,Drug Manufacturers,Specialty & Generic
AGS,PlayAGS,PlayAGS,Consumer Cyclical,Gambling,
AGTI,Agiliti,Agiliti,Healthcare,Health Information Services,
AGX,Argan,Argan,Industrials,Engineering & Construction,
AGYS,Agilysys,Agilysys,Technology,Software,Application
AHCO,AdaptHealth,AdaptHealth,Healthcare,Medical Devices,
AHH,Armada Hoffler Properties,Armada Hoffler Properties,Real Estate,REIT,Diversified
AHR,American Healthcare REIT,American Healthcare REIT,Real Estate,REIT,Healthcare Facilities
AHT,Ashford Hospitality Trust,Ashford Hospitality Trust,Real Estate,REIT,Hotel & Motel
AI,C3.ai,C3 AI,Technology,Software,Application
AIG,American International Group,American International Group,Financial Services,Insurance,Diversified
AILE,iLearningEngines,iLearningEngines,Technology,Software,Infrastructure
AIM,AIM ImmunoTech,AIM ImmunoTech,Healthcare,Biotechnology,
AIN,Albany International,Albany International,Consumer Cyclical,Textile Manufacturing,
AINC,Ashford,Ashford Inc,Financial Services,Asset Management,
AIP,Arteris,Arteris,Technology,Semiconductors,
AIR,AAR,AAR,Industrials,Aerospace & Defense,
AIRC,Apartment Income REIT,Apartment Income REIT,Real Estate,REIT,Residential
AIRE,reAlpha Tech,reAlpha Tech,Real Estate,Real Estate Services,
AIRG,Airgain,Airgain,Technology,Communication Equipment,
AIRI,Air Industries Group,Air Industries Group,Industrials,Aerospace & Defense,
AIRS,AirSculpt Technologies,AirSculpt Technologies,Healthcare,Medical Care Facilities,
AIRT,Air T,Air T,Industrials,Conglomerates,
AISP,Airship AI Holdings,Airship AI,Technology,Software,Infrastructure
AIT,Applied Industrial Technologies,Applied Industrial Technologies,Industrials,Industrial Distribution,
AIV,Apartment Investment and Management Company,Aimco,Real Estate,REIT,Residential
AIZ,Assurant,Assurant,Financial Services,Insurance,Specialty
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,
AJX,Great Ajax,Great Ajax,Real Estate,REIT,Mortgage
AKA,a.k.a. Brands Holding,a.k.a. Brands,Consumer Cyclical,Apparel Retail,
AKAM,Akamai Technologies,Akamai,Technology,Software,Infrastructure
AKBA,Akebia Therapeutics,Akebia Therapeutics,Healthcare,Biotechnology,
AKLI,Akili,Akili,Healthcare,Health Information Services,
AKR,Acadia Realty Trust,Acadia Realty Trust,Real Estate,REIT,Retail
AKRO,Akero Therapeutics,Akero Therapeutics,Healthcare,Biotechnology,
AKTS,Akoustis Technologies,Akoustis Technologies,Technology,Communication Equipment,
AKYA,Akoya Biosciences,Akoya Biosciences,Healthcare,Medical Instruments & Supplies,
AL,Air Lease,Air Lease Corporation,Industrials,Rental & Leasing Services,
ALAB,Astera Labs,Astera Labs,Technology,Semiconductors,
ALB,Albemarle,Albemarle,Basic Materials,Specialty Chemicals,
ALBT,Avalon GloboCare,Avalon GloboCare,Real Estate,Real Estate Services,
ALCO,Alico,Alico,Consumer Defensive,Farm Products,
ALDX,Aldeyra Therapeutics,Aldeyra Therapeutics,Healthcare,Biotechnology,
ALE,ALLETE,Allete,Utilities,Utilities,Diversified
ALEC,Alector,Alector,Healthcare,Biotechnology,
ALEX,Alexander & Baldwin,Alexander &amp; Baldwin,Real Estate,REIT,Retail
ALG,Alamo Group,Alamo Group,Industrials,Farm & Heavy Construction Machinery,
ALGM,Allegro MicroSystems,Allegro MicroSystems,Technology,Semiconductors,
ALGN,Align Technology,Align Technology,Healthcare,Medical Devices,
ALGT,Allegiant Travel Company,Allegiant Air,Industrials,Airlines,
ALHC,Alignment Healthcare,Alignment Healthcare,Healthcare,Healthcare Plans,
ALIM,Alimera Sciences,Alimera Sciences,Healthcare,Drug Manufacturers,Specialty & Generic
ALIT,Alight,Alight,Technology,Software,Application
ALK,Alaska Air Group,Alaska Airlines,Industrials,Airlines,
ALKT,Alkami Technology,Alkami Technology,Technology,Software,Application
ALL,The Allstate,Allstate,Financial Services,Insurance,Property & Casualty
ALLK,Allakos,Allakos,Healthcare,Biotechnology,
ALLO,Allogene Therapeutics,Allogene Therapeutics,Healthcare,Biotechnology,
ALLY,Ally Financial,Ally,Financial Services,Credit Services,
ALMS,Alumis,Alumis,Healthcare,Biotechnology,
ALNT,Allient,Allient,Technology,Electronic Components,
ALNY,Alnylam Pharmaceuticals,Alnylam Pharmaceuticals,Healthcare,Biotechnology,
ALPN,Alpine Immune Sciences,Alpine Immune Sciences,Healthcare,Biotechnology,
ALPSQ,Alpine Summit Energy Partners,Alpine Summit Energy Partners,,,
ALRM,Alarm.com Holdings,Alarm.com,Technology,Software,Application
ALRN,Aileron Therapeutics,Aileron Therapeutics,Healthcare,Biotechnology,
ALRS,Alerus Financial,Alerus Financial,Financial Services,Banks,Regional
ALSN,Allison Transmission Holdings,Allison Transmission,Consumer Cyclical,Auto Parts,
ALT,Altimmune,Altimmune,Healthcare,Biotechnology,
ALTG,Alta Equipment Group,Alta Equipment Group,Industrials,Rental & Leasing Services,
ALTI,AlTi Global,AlTi Global,Financial Services,Asset Management,
ALTM,Arcadium Lithium,Arcadium Lithium,Basic Materials,Specialty Chemicals,
ALTO,Alto Ingredients,Alto Ingredients,Basic Materials,Specialty Chemicals,
ALTR,Altair Engineering,Altair Engineering,Technology,Software,Infrastructure
ALUR,Allurion Technologies,Allurion Technologies,Healthcare,Medical Devices,
ALVR,AlloVir,AlloVir,Healthcare,Biotechnology,
ALX,Alexander's,Alexander's,Real Estate,REIT,Retail
ALXO,ALX Oncology Holdings,ALX Oncology,Healthcare,Biotechnology,
AM,Antero Midstream,Antero Midstream,Energy,Oil & Gas Midstream,
AMAL,Amalgamated Financial,Amalgamated Financial,Financial Services,Banks,Regional
AMAT,Applied Materials,Applied Materials,Technology,Semiconductor Equipment & Materials,
AMBA,Ambarella,Ambarella,Technology,Semiconductor Equipment & Materials,
AMBC,Ambac Financial Group,Ambac,Financial Services,Insurance,Specialty
AMC,AMC Entertainment Holdings,AMC Entertainment,Communication Services,Entertainment,
AMCX,AMC Networks,AMC Networks,Communication Services,Entertainment,
AMD,Advanced Micro Devices,AMD,Technology,Semiconductors,
AME,AMETEK,Ametek,Industrials,Specialty Industrial Machinery,
AMED,Amedisys,Amedisys,Healthcare,Medical Care Facilities,
AMG,Affiliated Managers Group,Affiliated Managers Group,Financial Services,Asset Management,
AMGN,Amgen,Amgen,Healthcare,Drug Manufacturers,General
AMH,American Homes 4 Rent,AMH (American Homes 4 Rent),Real Estate,REIT,Residential
AMK,AssetMark Financial Holdings,AssetMark,Financial Services,Asset Management,
AMKR,Amkor Technology,Amkor Technology,Technology,Semiconductor Equipment & Materials,
AMLX,Amylyx Pharmaceuticals,Amylyx Pharmaceuticals,Healthcare,Biotechnology,
AMN,AMN Healthcare Services,AMN Healthcare Services,Healthcare,Medical Care Facilities,
AMP,Ameriprise Financial,Ameriprise Financial,Financial Services,Asset Management,
AMPE,Ampio Pharmaceuticals,Ampio Pharmaceuticals,Healthcare,Biotechnology,
AMPH,Amphastar Pharmaceuticals,Amphastar Pharmaceuticals,Healthcare,Drug Manufacturers,Specialty & Generic
AMPL,Amplitude,Amplitude,Technology,Software,Application
AMPS,Altus Power,Altus Power,Utilities,Utilities,Renewable
AMPX,Amprius Technologies,Amprius Technologies,Industrials,Electrical Equipment & Parts,
AMPY,Amplify Energy,Amplify Energy,Energy,Oil & Gas E&P,
AMR,Alpha Metallurgical Resources,Alpha Metallurgical Resources,Basic Materials,Coking Coal,
AMRC,Ameresco,Ameresco,Industrials,Engineering & Construction,
AMRK,A-Mark Precious Metals,A-Mark Precious Metals,Financial Services,Capital Markets,
AMRX,Amneal Pharmaceuticals,Amneal Pharmaceuticals,Healthcare,Drug Manufacturers,Specialty & Generic
AMSF,AMERISAFE,AMERISAFE,Financial Services,Insurance,Specialty
AMSWA,American Software,American Software,Technology,Software,Application
AMT,American Tower,American Tower,Real Estate,REIT,Specialty
AMTB,Amerant Bancorp,Amerant Bancorp,Financial Services,Banks,Regional
AMTX,Aemetis,Aemetis,Energy,Oil & Gas Refining & Marketing,
AMWD,American Woodmark,American Woodmark,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
AMWL,American Well,American Well,Healthcare,Health Information Services,
AMZN,Amazon.com,Amazon,Consumer Cyclical,Internet Retail,
AN,AutoNation,AutoNation,Consumer Cyclical,Auto & Truck Dealerships,
ANAB,AnaptysBio,AnaptysBio,Healthcare,Biotechnology,
ANDE,The Andersons,The Andersons,Consumer Defensive,Food Distribution,
ANET,Arista Networks,Arista Networks,Technology,Computer Hardware,
ANF,Abercrombie & Fitch Co.,Abercrombie &amp; Fitch,Consumer Cyclical,Apparel Retail,
ANGI,Angi,ANGI Homeservices,Communication Services,Internet Content & Information,
ANGO,AngioDynamics,AngioDynamics,Healthcare,Medical Instruments & Supplies,
ANIK,Anika Therapeutics,Anika Therapeutics,Healthcare,Medical Instruments & Supplies,
ANIP,ANI Pharmaceuticals,ANI Pharmaceuticals,Healthcare,Drug Manufacturers,Specialty & Generic
ANIX,Anixa Biosciences,Anixa Biosciences,Healthcare,Biotechnology,
ANNX,Annexon,Annexon,Healthcare,Biotechnology,
ANRO,,Alto Neuroscience,Healthcare,Biotechnology,
ANSS,ANSYS,Ansys,Technology,Software,Application
ANTX,AN2 Therapeutics,AN2 Therapeutics,Healthcare,Biotechnology,
ANVS,Annovis Bio,Annovis Bio,Healthcare,Biotechnology,
AOMR,Angel Oak Mortgage REIT,Angel Oak REIT,Real Estate,REIT,Mortgage
AORT,Artivion,Artivion,Healthcare,Medical Devices,
AOS,A. O. Smith,A. O. Smith,Industrials,Specialty Industrial Machinery,
AOSL,Alpha and Omega Semiconductor Limited,Alpha &amp; Omega Semiconductor,Technology,Semiconductors,
APA,APA,Apache Corporation,Energy,Oil & Gas E&P,
APAM,Artisan Partners Asset Management,Artisan Partners,Financial Services,Asset Management,
APCX,AppTech Payments,AppTech Payments,Technology,Software,Infrastructure
APD,Air Products and Chemicals,Air Products and Chemicals,Basic Materials,Specialty Chemicals,
APDN,Applied DNA Sciences,Applied DNA Sciences,Healthcare,Diagnostics & Research,
APEI,American Public Education,American Public Education,Consumer Defensive,Education & Training Services,
APG,APi Group,APi Group,Industrials,Engineering & Construction,
APGE,Apogee Therapeutics,Apogee Therapeutics,Healthcare,Biotechnology,
APH,Amphenol,Amphenol,Technology,Electronic Components,
APLD,Applied Digital,Applied Blockchain,Technology,Information Technology Services,
APLE,Apple Hospitality REIT,Apple Hospitality REIT,Real Estate,REIT,Hotel & Motel
APLS,Apellis Pharmaceuticals,Apellis Pharmaceuticals,Healthcare,Biotechnology,
APLT,Applied Therapeutics,Applied Therapeutics,Healthcare,Biotechnology,
APO,Apollo Global Management,Apollo Global Management,Financial Services,Asset Management,
APOG,Apogee Enterprises,Apogee Enterprises,Industrials,Building Products & Equipment,
APP,AppLovin,AppLovin,Technology,Software,Application
APPF,AppFolio,AppFolio,Technology,Software,Application
APPN,Appian,Appian,Technology,Software,Infrastructure
APPS,Digital Turbine,Digital Turbine,Technology,Software,Application
APRE,Aprea Therapeutics,Aprea Therapeutics,Healthcare,Biotechnology,
APYX,Apyx Medical,Apyx Medical,Healthcare,Medical Devices,
AQB,AquaBounty Technologies,AquaBounty,Consumer Defensive,Farm Products,
AQST,Aquestive Therapeutics,Aquestive Therapeutics,Healthcare,Drug Manufacturers,Specialty & Generic
AR,Antero Resources,Antero Resources,Energy,Oil & Gas E&P,
AR.TO,Argonaut Gold,Argonaut Gold,Basic Materials,Gold,
ARAY,Accuray Incorporated,Accuray,Healthcare,Medical Devices,
ARC,ARC Document Solutions,ARC Document Solutions,Industrials,Specialty Business Services,
ARCB,ArcBest,ArcBest,Industrials,Trucking,
ARCC,Ares Capital,Ares Capital,Financial Services,Asset Management,
ARCH,Arch Resources,Arch Resources,Basic Materials,Coking Coal,
ARCT,Arcturus Therapeutics Holdings,Arcturus Therapeutics,Healthcare,Biotechnology,
ARDX,Ardelyx,Ardelyx,Healthcare,Biotechnology,
ARE,Alexandria Real Estate Equities,Alexandria Real Estate Equities,Real Estate,REIT,Office
AREC,American Resources,American Resources Corp,Basic Materials,Coking Coal,
AREN,The Arena Group Holdings,The Arena Group,Communication Services,Internet Content & Information,
ARES,Ares Management,Ares Management,Financial Services,Asset Management,
ARHS,Arhaus,Arhaus,Consumer Cyclical,Home Improvement Retail,
ARI,Apollo Commercial Real Estate Finance,Apollo Commercial Real Estate,Real Estate,REIT,Mortgage
ARIS,Aris Water Solutions,Aris Water Solutions,Utilities,Utilities,Regulated Water
ARKO,Arko,Arko,Consumer Cyclical,Specialty Retail,
ARL,American Realty Investors,American Realty Investors,Real Estate,Real Estate Services,
ARLO,Arlo Technologies,Arlo Technologies,Industrials,Building Products & Equipment,
ARLP,Alliance Resource Partners L.P.,Alliance Resource Partners,Energy,Thermal Coal,
ARMK,Aramark,Aramark,Industrials,Specialty Business Services,
ARMP,Armata Pharmaceuticals,Armata Pharmaceuticals,Healthcare,Biotechnology,
AROC,Archrock,Archrock,Energy,Oil & Gas Equipment & Services,
AROW,Arrow Financial,Arrow Financial,Financial Services,Banks,Regional
ARQT,Arcutis Biotherapeutics,Arcutis Biotherapeutics,Healthcare,Biotechnology,
ARR,ARMOUR Residential REIT,ARMOUR Residential REIT,Real Estate,REIT,Mortgage
ARRY,Array Technologies,Array Technologies,Technology,Solar,
ARTNA,Artesian Resources,Artesian Resources,Utilities,Utilities,Regulated Water
ARVN,Arvinas,Arvinas,Healthcare,Biotechnology,
ARW,Arrow Electronics,Arrow Electronics,Technology,Electronics & Computer Distribution,
ARWR,Arrowhead Pharmaceuticals,Arrowhead Pharmaceuticals,Healthcare,Biotechnology,
ASA,ASA Gold and Precious Metals Limited,ASA Gold and Precious Metals,Financial Services,Asset Management,
ASAN,Asana,Asana,Technology,Software,Application
ASB,Associated Banc-Corp,Associated Banc-Corp,Financial Services,Banks,Regional
ASGN,ASGN Incorporated,ASGN,Technology,Information Technology Services,
ASH,Ashland,Ashland,Basic Materials,Specialty Chemicals,
ASIX,AdvanSix,AdvanSix,Basic Materials,Chemicals,
ASLE,AerSale,AerSale,Industrials,Airports & Air Services,
ASNS,Actelis Networks,Actelis Networks,Technology,Communication Equipment,
ASO,Academy Sports and Outdoors,Academy Sports,Consumer Cyclical,Specialty Retail,
ASPI,ASP Isotopes,ASP Isotopes,Basic Materials,Chemicals,
ASPN,Aspen Aerogels,Aspen Aerogels,Industrials,Building Products & Equipment,
ASRT,Assertio Holdings,Assertio Therapeutics,Healthcare,Drug Manufacturers,Specialty & Generic
ASST,Asset Entities,Asset Entities,Communication Services,Internet Content & Information,
ASTC,Astrotech,Astrotech,Industrials,Aerospace & Defense,
ASTE,Astec Industries,Astec Industries,Industrials,Farm & Heavy Construction Machinery,
ASTH,Astrana Health,Astrana Health,Healthcare,Medical Care Facilities,
ASTI,Ascent Solar Technologies,Ascent Solar Technologies,Technology,Solar,
ASTR,Astra Space,Astra Space,Industrials,Aerospace & Defense,
ASTS,AST SpaceMobile,AST SpaceMobile,Technology,Communication Equipment,
ASUR,Asure Software,Asure Software,Technology,Software,Application
ASXC,Asensus Surgical,Asensus Surgical,Healthcare,Medical Devices,
ASYS,Amtech Systems,Amtech Systems,Technology,Semiconductor Equipment & Materials,
ATEN,A10 Networks,A10 Networks,Technology,Software,Infrastructure
ATER,Aterian,Aterian,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
ATEX,Anterix,Anterix,Communication Services,Telecom Services,
ATGE,Adtalem Global Education,Adtalem Global Education,Consumer Defensive,Education & Training Services,
ATHA,Athira Pharma,Athira Pharma,Healthcare,Biotechnology,
ATI,ATI,Allegheny Technologies,Industrials,Metal Fabrication,
ATIP,ATI Physical Therapy,ATI Physical Therapy,Healthcare,Medical Care Facilities,
ATKR,Atkore,Atkore,Industrials,Electrical Equipment & Parts,
ATLC,Atlanticus Holdings,Atlanticus,Financial Services,Credit Services,
ATLO,Ames National,Ames National Corp.,Financial Services,Banks,Regional
ATLX,Atlas Lithium,Atlas Lithium,Basic Materials,Other Precious Metals & Mining,
ATMU,Atmus Filtration Technologies,Atmus Filtration Technologies,Industrials,Pollution & Treatment Controls,
ATNF,180 Life Sciences,180 Life Sciences,Healthcare,Biotechnology,
ATNI,ATN International,ATN International,Communication Services,Telecom Services,
ATNM,Actinium Pharmaceuticals,Actinium Pharmaceuticals,Healthcare,Biotechnology,
ATO,Atmos Energy,Atmos Energy,Utilities,Utilities,Regulated Gas
ATOM,Atomera Incorporated,Atomera,Technology,Semiconductor Equipment & Materials,
ATOS,Atossa Therapeutics,Atossa Therapeutics,Healthcare,Biotechnology,
ATR,AptarGroup,AptarGroup,Healthcare,Medical Instruments & Supplies,
ATRA,Atara Biotherapeutics,Atara Biotherapeutics,Healthcare,Biotechnology,
ATRC,AtriCure,AtriCure,Healthcare,Medical Instruments & Supplies,
ATRI,Atrion,Atrion,Healthcare,Medical Instruments & Supplies,
ATRO,Astronics,Astronics Corporation,Industrials,Aerospace & Defense,
ATSG,Air Transport Services Group,Air Transport Services Group,Industrials,Airlines,
ATUS,Altice USA,Altice USA,Communication Services,Telecom Services,
ATYR,aTyr Pharma,aTyr Pharma,Healthcare,Biotechnology,
AUB,Atlantic Union Bankshares,Atlantic Union Bankshares,Financial Services,Banks,Regional
AUGX,Augmedix,Augmedix,Healthcare,Health Information Services,
AUID,authID,authID,Technology,Software,Infrastructure
AUMN,Golden Minerals Company,Golden Minerals,Basic Materials,Other Precious Metals & Mining,
AUR,Aurora Innovation,Aurora Innovation,Technology,Information Technology Services,
AURA,Aura Biosciences,Aura Biosciences,Healthcare,Biotechnology,
AUST,Austin Gold,Austin Gold,Basic Materials,Gold,
AVA,Avista,Avista,Utilities,Utilities,Diversified
AVAH,Aveanna Healthcare Holdings,Aveanna Healthcare,Healthcare,Medical Care Facilities,
AVAV,AeroVironment,AeroVironment,Industrials,Aerospace & Defense,
AVB,AvalonBay Communities,AvalonBay Communities,Real Estate,REIT,Residential
AVBP,ArriVent BioPharma,ArriVent BioPharma,Healthcare,Biotechnology,
AVD,American Vanguard,American Vanguard,Basic Materials,Agricultural Inputs,
AVDX,AvidXchange Holdings,AvidXchange,Technology,Software,Infrastructure
AVGO,Broadcom,Broadcom,Technology,Semiconductors,
AVGR,Avinger,Avinger,Healthcare,Medical Instruments & Supplies,
AVIR,Atea Pharmaceuticals,Atea Pharmaceuticals,Healthcare,Biotechnology,
AVNS,Avanos Medical,Avanos Medical,Healthcare,Medical Devices,
AVNT,Avient,Avient,Basic Materials,Specialty Chemicals,
AVNW,Aviat Networks,Aviat Networks,Technology,Communication Equipment,
AVO,Mission Produce,Mission Produce,Consumer Defensive,Food Distribution,
AVPT,AvePoint,AvePoint,Technology,Software,Infrastructure
AVRO,AVROBIO,AVROBIO,Healthcare,Biotechnology,
AVT,Avnet,Avnet,Technology,Electronics & Computer Distribution,
AVTE,Aerovate Therapeutics,Aerovate Therapeutics,Healthcare,Biotechnology,
AVTR,Avantor,Avantor,Basic Materials,Specialty Chemicals,
AVXL,Anavex Life Sciences,Anavex Life Sciences,Healthcare,Biotechnology,
AVY,Avery Dennison,Avery Dennison,Consumer Cyclical,Packaging & Containers,
AWI,Armstrong World Industries,Armstrong World Industries,Industrials,Building Products & Equipment,
AWK,American Water Works Company,American Water Works,Utilities,Utilities,Regulated Water
AWR,American States Water Company,American States Water,Utilities,Utilities,Regulated Water
AX,Axos Financial,Axos Financial,Financial Services,Banks,Regional
AXDX,Accelerate Diagnostics,Accelerate Diagnostics,Healthcare,Medical Devices,
AXGN,AxoGen,Axogen,Healthcare,Medical Devices,
AXIL,AXIL Brands,AXIL Brands,Technology,Consumer Electronics,
AXL,American Axle & Manufacturing Holdings,American Axle &amp; Manufacturing,Consumer Cyclical,Auto Parts,
AXNX,Axonics,Axonics Modulation Tech,Healthcare,Medical Devices,
AXON,Axon Enterprise,Axon Enterprise,Industrials,Aerospace & Defense,
AXP,American Express Company,American Express,Financial Services,Credit Services,
AXSM,Axsome Therapeutics,Axsome Therapeutics,Healthcare,Biotechnology,
AXTA,Axalta Coating Systems,Axalta,Basic Materials,Specialty Chemicals,
AXTI,AXT,AXT Inc,Technology,Semiconductor Equipment & Materials,
