Ticker,Name,OtherName,Sector,Industry
WABC,Westamerica Bancorporation,Westamerica Bancorporation,Financial Services,Banks - Regional
AHCO,AdaptHealth Corp.,AdaptHealth,Healthcare,Medical Devices
CET,Central Securities Corporation,Central Securities,Financial Services,Asset Management
SSTK,"Shutterstock, Inc.",Shutterstock,Communication Services,Internet Content & Information
TCBK,TriCo Bancshares,TriCo Bancshares,Financial Services,Banks - Regional
PRO,"PROS Holdings, Inc.",PROS,Technology,Software - Application
CARS,Cars.com Inc.,Cars.com,Consumer Cyclical,Auto & Truck Dealerships
HOPE,"Hope Bancorp, Inc.",Hope Bancorp,Financial Services,Banks - Regional
GOGO,Gogo Inc.,Gogo Inflight Internet,Communication Services,Telecom Services
DMLP,"Dorchester Minerals, L.P.",Dorchester Minerals,Energy,Oil & Gas E&P
MCRI,"Monarch Casino & Resort, Inc.",Monarch Casino &amp; Resort,Consumer Cyclical,Resorts & Casinos
STBA,"S&T Bancorp, Inc.",S&amp;T Bancorp,Financial Services,Banks - Regional
LNN,Lindsay Corporation,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery
ARDX,"Ardelyx, Inc.",Ardelyx,Healthcare,Biotechnology
AILE,"iLearningEngines, Inc.",iLearningEngines,Technology,Software - Infrastructure
BFS,"Saul Centers, Inc.",Saul Centers,Real Estate,REIT - Retail
OEC,Orion S.A.,Orion Engineered Carbons,Basic Materials,Specialty Chemicals
WTTR,"Select Water Solutions, Inc.",Select Energy Services,Basic Materials,Specialty Chemicals
SILA,"Sila Realty Trust, Inc.",Sila Realty Trust,Real Estate,REIT - Healthcare Facilities
ADEA,Adeia Inc.,Adeia,Technology,Software - Application
WINA,Winmark Corporation,Winmark,Consumer Cyclical,Specialty Retail
OMCL,"Omnicell, Inc.",Omnicell,Healthcare,Health Information Services
ALEX,"Alexander & Baldwin, Inc.",Alexander &amp; Baldwin,Real Estate,REIT - Retail
OPEN,Opendoor Technologies Inc.,Opendoor,Real Estate,Real Estate Services
TASK,"TaskUs, Inc.",TaskUs,Technology,Information Technology Services
ARQT,"Arcutis Biotherapeutics, Inc.",Arcutis Biotherapeutics,Healthcare,Biotechnology
SGH,"SMART Global Holdings, Inc.",SMART Global Holdings,Technology,Semiconductors
MMI,"Marcus & Millichap, Inc.",Marcus &amp; Millichap,Real Estate,Real Estate Services
VRNOF,Verano Holdings Corp.,Verano Holdings,Healthcare,Drug Manufacturers - Specialty & Generic
SLCA,"U.S. Silica Holdings, Inc.",U.S. Silica,Energy,Oil & Gas Equipment & Services
AMWD,American Woodmark Corporation,American Woodmark,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
TRUP,"Trupanion, Inc.",Trupanion,Financial Services,Insurance - Specialty
NRDS,"NerdWallet, Inc.",NerdWallet,Communication Services,Internet Content & Information
SPH,"Suburban Propane Partners, L.P.",Suburban Propane Partners,Utilities,Utilities - Regulated Gas
DAWN,"Day One Biopharmaceuticals, Inc.",Day One Biopharmaceuticals,Healthcare,Biotechnology
TGI,"Triumph Group, Inc.",Triumph Group,Industrials,Aerospace & Defense
PMT,PennyMac Mortgage Investment Trust,PennyMac Mortgage Investment Trust,Real Estate,REIT - Mortgage
GIII,"G-III Apparel Group, Ltd.",G-III Apparel Group,Consumer Cyclical,Apparel Manufacturing
CSGS,"CSG Systems International, Inc.",CSG International,Technology,Software - Infrastructure
NIC,"Nicolet Bankshares, Inc.",Nicolet Bankshares,Financial Services,Banks - Regional
KFRC,Kforce Inc.,Kforce,Industrials,Staffing & Employment Services
AIV,Apartment Investment and Management Company,Aimco,Real Estate,REIT - Residential
NTST,NETSTREIT Corp.,Netstreit,Real Estate,REIT - Retail
NRIX,"Nurix Therapeutics, Inc.",Nurix Therapeutics,Healthcare,Biotechnology
STEL,"Stellar Bancorp, Inc.",Stellar Bancorp,Financial Services,Banks - Regional
BV,"BrightView Holdings, Inc.",BrightView,Industrials,Specialty Business Services
UVV,Universal Corporation,Universal Corporation,Consumer Defensive,Tobacco
MODN,"Model N, Inc.",Model N,Technology,Software - Application
CRCT,"Cricut, Inc.",Cricut,Technology,Computer Hardware
CRAI,"CRA International, Inc.",CRA International,Industrials,Consulting Services
ACDC,ProFrac Holding Corp.,ProFrac,Energy,Oil & Gas Equipment & Services
HY,"Hyster-Yale, Inc.",Hyster-Yale Materials Handling,Industrials,Farm & Heavy Construction Machinery
VIR,"Vir Biotechnology, Inc.",Vir Biotechnology,Healthcare,Biotechnology
PHR,"Phreesia, Inc.",Phreesia,Healthcare,Health Information Services
GIC,Global Industrial Company,Global Industrial Company,Industrials,Industrial Distribution
IRON,"Disc Medicine, Inc.",Disc Medicine,Healthcare,Biotechnology
LMND,"Lemonade, Inc.",Lemonade,Financial Services,Insurance - Property & Casualty
SHCO,Soho House & Co Inc.,Soho House & Co,Consumer Cyclical,Lodging
ATRC,"AtriCure, Inc.",AtriCure,Healthcare,Medical Instruments & Supplies
UMH,"UMH Properties, Inc.",UMH Properties,Real Estate,REIT - Residential
PRM,"Perimeter Solutions, SA",Perimeter Solutions,Basic Materials,Specialty Chemicals
PBI,Pitney Bowes Inc.,Pitney Bowes,Industrials,Integrated Freight & Logistics
ALX,"Alexander's, Inc.",Alexander's,Real Estate,REIT - Retail
EEX,"Emerald Holding, Inc.",Emerald Holding,Communication Services,Advertising Agencies
SANA,"Sana Biotechnology, Inc.",Sana Biotechnology,Healthcare,Biotechnology
CNNE,"Cannae Holdings, Inc.",Cannae Holdings,Consumer Cyclical,Restaurants
XNCR,"Xencor, Inc.",Xencor,Healthcare,Biotechnology
COUR,"Coursera, Inc.",Coursera,Consumer Defensive,Education & Training Services
TBLA,Taboola.com Ltd.,Taboola.com,Communication Services,Internet Content & Information
HLF,Herbalife Ltd.,Herbalife,Consumer Defensive,Packaged Foods
SBH,"Sally Beauty Holdings, Inc.",Sally Beauty Holdings,Consumer Cyclical,Specialty Retail
TRNS,"Transcat, Inc.",Transcat,Industrials,Industrial Distribution
CAL,"Caleres, Inc.",Caleres,Consumer Cyclical,Apparel Retail
CMTG,"Claros Mortgage Trust, Inc.",Claros Mortgage Trust,Real Estate,REIT - Mortgage
HTZ,"Hertz Global Holdings, Inc.",Hertz,Industrials,Rental & Leasing Services
SAFT,"Safety Insurance Group, Inc.",Safety Insurance,Financial Services,Insurance - Property & Casualty
SEAT,Vivid Seats Inc.,Vivid Seats,Communication Services,Internet Content & Information
PGRE,"Paramount Group, Inc.",Paramount Group,Real Estate,REIT - Office
VBTX,"Veritex Holdings, Inc.",Veritex Holdings,Financial Services,Banks - Regional
TPC,Tutor Perini Corporation,Tutor Perini,Industrials,Engineering & Construction
JELD,"JELD-WEN Holding, Inc.",Jeld-Wen,Industrials,Building Products & Equipment
SDHC,Smith Douglas Homes Corp.,Smith Douglas Homes,Real Estate,Real Estate - Development
FDMT,"4D Molecular Therapeutics, Inc.",4D Molecular Therapeutics,Healthcare,Biotechnology
GES,"Guess?, Inc.",Guess,Consumer Cyclical,Apparel Retail
RVLV,"Revolve Group, Inc.",Revolve,Consumer Cyclical,Internet Retail
PLYA,Playa Hotels & Resorts N.V.,Playa Hotels &amp; Resorts,Consumer Cyclical,Resorts & Casinos
SMR,NuScale Power Corporation,NuScale Power,Industrials,Specialty Industrial Machinery
PSFE,Paysafe Limited,Paysafe,Technology,Software - Infrastructure
MFA,"MFA Financial, Inc.",MFA Financial,Real Estate,REIT - Mortgage
AOSL,Alpha and Omega Semiconductor Limited,Alpha &amp; Omega Semiconductor,Technology,Semiconductors
SILK,"Silk Road Medical, Inc",Silk Road Medical,Healthcare,Medical Devices
CSR,Centerspace,Centerspace,Real Estate,REIT - Residential
SP,SP Plus Corporation,SP Plus Corporation,Industrials,Specialty Business Services
EIG,"Employers Holdings, Inc.",Employers Holdings,Financial Services,Insurance - Specialty
BCSF,"Bain Capital Specialty Finance, Inc.",Bain Capital,Financial Services,Asset Management
GYRE,"Gyre Therapeutics, Inc.",Gyre Therapeutics,Healthcare,Biotechnology
SASR,"Sandy Spring Bancorp, Inc.",Sandy Spring Bank,Financial Services,Banks - Regional
SABR,Sabre Corporation,Sabre,Technology,Software - Infrastructure
INDI,"indie Semiconductor, Inc.",indie Semiconductor,Technology,Semiconductor Equipment & Materials
BBDC,"Barings BDC, Inc.",Barings BDC,Financial Services,Asset Management
AORT,"Artivion, Inc.",Artivion,Healthcare,Medical Devices
ELVN,"Enliven Therapeutics, Inc.",Enliven Therapeutics,Healthcare,Biotechnology
TARS,"Tarsus Pharmaceuticals, Inc.",Tarsus Pharmaceuticals,Healthcare,Biotechnology
COLL,"Collegium Pharmaceutical, Inc.",Collegium Pharmaceutical,Healthcare,Drug Manufacturers - Specialty & Generic
AMPL,"Amplitude, Inc.",Amplitude,Technology,Software - Application
CRSR,"Corsair Gaming, Inc.",Corsair Gaming,Technology,Computer Hardware
