Ticker,Name,OtherName,Sector,Industry,Sub-Industry
AEIS,"Advanced Energy Industries, Inc.",Advanced Energy,Industrials,Electrical Equipment & Parts,
AEL,,American Equity Investment Life Holding,,,
AEMD,"Aethlon Medical, Inc.",Aethlon Medical,Healthcare,Medical Devices,
AENT,Alliance Entertainment Holding Corporation,Alliance Entertainment,Communication Services,Entertainment,
AEO,"American Eagle Outfitters, Inc.",American Eagle Outfitters,Consumer Cyclical,Apparel Retail,
AEON,"AEON Biopharma, Inc.",AEON Biopharma,Healthcare,Biotechnology,
AEP,"American Electric Power Company, Inc.",American Electric Power,Utilities,Utilities - Regulated Electric,
AES,The AES Corporation,AES,Utilities,Utilities - Diversified,
AESI,Atlas Energy Solutions Inc.,Atlas Energy Solutions,Energy,Oil & Gas Equipment & Services,
AEVA,"Aeva Technologies, Inc.",Aeva Technologies,Technology,Software—Infrastructure,
AEYE,"AudioEye, Inc.",AudioEye,Technology,Software—Application,
AEZS,Aeterna Zentaris Inc.,Aeterna Zentaris,Healthcare,Biotechnology,
AFBI,"Affinity Bancshares, Inc.",Affinity Bancshares,Financial Services,Banks—Regional,
AFCG,"AFC Gamma, Inc.",AFC Gamma,Real Estate,REIT—Specialty,
AFFS,"AmTrust Financial Services, Inc.",AmTrust Financial Services,,,
AFG,"American Financial Group, Inc.",American Financial Group,Financial Services,Insurance - Property & Casualty,
AFL,Aflac Incorporated,Aflac,Financial Services,Insurance - Life,
AFRM,"Affirm Holdings, Inc.",Affirm,Technology,Software - Infrastructure,
AGCO,AGCO Corporation,AGCO,Industrials,Farm & Heavy Construction Machinery,
AGEN,Agenus Inc.,Agenus,Healthcare,Biotechnology,
AGFY,Agrify Corporation,Agrify,Industrials,Farm & Heavy Construction Machinery,
AGIO,"Agios Pharmaceuticals, Inc.",Agios Pharmaceuticals,Healthcare,Biotechnology,
AGL,"agilon health, inc.",Agilon Health,Healthcare,Medical Care Facilities,
AGM,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage,Financial Services,Credit Services,
AGNC,AGNC Investment Corp.,AGNC Investment,Real Estate,REIT - Mortgage,
AGR,"Avangrid, Inc.",Avangrid,Utilities,Utilities - Regulated Electric,
AGRX,"Agile Therapeutics, Inc.",Agile Therapeutics,Healthcare,Drug Manufacturers—Specialty & Generic,
AGS,"PlayAGS, Inc.",PlayAGS,Consumer Cyclical,Gambling,
AGTI,"Agiliti, Inc.",Agiliti,Healthcare,Health Information Services,
AGX,"Argan, Inc.",Argan,Industrials,Engineering & Construction,
AGYS,"Agilysys, Inc.",Agilysys,Technology,Software - Application,
AHCO,AdaptHealth Corp.,AdaptHealth,Healthcare,Medical Devices,
AHH,"Armada Hoffler Properties, Inc.",Armada Hoffler Properties,Real Estate,REIT - Diversified,
AHR,"American Healthcare REIT, Inc.",American Healthcare REIT,Real Estate,REIT - Healthcare Facilities,
AHT,"Ashford Hospitality Trust, Inc.",Ashford Hospitality Trust,Real Estate,REIT—Hotel & Motel,
AI,"C3.ai, Inc.",C3 AI,Technology,Software - Application,
AIG,"American International Group, Inc.",American International Group,Financial Services,Insurance - Diversified,
AILE,"iLearningEngines, Inc.",iLearningEngines,Technology,Software - Infrastructure,
AIM,AIM ImmunoTech Inc.,AIM ImmunoTech,Healthcare,Biotechnology,
AIN,Albany International Corp.,Albany International,Consumer Cyclical,Textile Manufacturing,
AINC,Ashford Inc.,Ashford Inc,Financial Services,Asset Management,
AIP,"Arteris, Inc.",Arteris,Technology,Semiconductors,
AIR,AAR Corp.,AAR,Industrials,Aerospace & Defense,
AIRC,Apartment Income REIT Corp.,Apartment Income REIT,Real Estate,REIT - Residential,
AIRE,reAlpha Tech Corp.,reAlpha Tech,Real Estate,Real Estate Services,
AIRG,"Airgain, Inc.",Airgain,Technology,Communication Equipment,
AIRI,Air Industries Group,Air Industries Group,Industrials,Aerospace & Defense,
AIRS,"AirSculpt Technologies, Inc.",AirSculpt Technologies,Healthcare,Medical Care Facilities,
AIRT,"Air T, Inc.",Air T,Industrials,Conglomerates,
AISP,"Airship AI Holdings, Inc.",Airship AI,Technology,Software—Infrastructure,
AIT,"Applied Industrial Technologies, Inc.",Applied Industrial Technologies,Industrials,Industrial Distribution,
AIV,Apartment Investment and Management Company,Aimco,Real Estate,REIT - Residential,
AIZ,"Assurant, Inc.",Assurant,Financial Services,Insurance - Specialty,
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,
AJX,Great Ajax Corp.,Great Ajax,Real Estate,REIT—Mortgage,
AKA,a.k.a. Brands Holding Corp.,a.k.a. Brands,Consumer Cyclical,Apparel Retail,
AKAM,"Akamai Technologies, Inc.",Akamai,Technology,Software - Infrastructure,
AKBA,"Akebia Therapeutics, Inc.",Akebia Therapeutics,Healthcare,Biotechnology,
AKLI,"Akili, Inc.",Akili,Healthcare,Health Information Services,
AKR,Acadia Realty Trust,Acadia Realty Trust,Real Estate,REIT - Retail,
AKRO,"Akero Therapeutics, Inc.",Akero Therapeutics,Healthcare,Biotechnology,
AKTS,"Akoustis Technologies, Inc.",Akoustis Technologies,Technology,Communication Equipment,
AKYA,"Akoya Biosciences, Inc.",Akoya Biosciences,Healthcare,Medical Instruments & Supplies,
AL,Air Lease Corporation,Air Lease Corporation,Industrials,Rental & Leasing Services,
ALAB,"Astera Labs, Inc.",Astera Labs,Technology,Semiconductors,
ALB,Albemarle Corporation,Albemarle,Basic Materials,Specialty Chemicals,
ALBT,Avalon GloboCare Corp.,Avalon GloboCare,Real Estate,Real Estate Services,
ALCO,"Alico, Inc.",Alico,Consumer Defensive,Farm Products,
ALDX,"Aldeyra Therapeutics, Inc.",Aldeyra Therapeutics,Healthcare,Biotechnology,
ALE,"ALLETE, Inc.",Allete,Utilities,Utilities - Diversified,
ALEC,"Alector, Inc.",Alector,Healthcare,Biotechnology,
ALEX,"Alexander & Baldwin, Inc.",Alexander &amp; Baldwin,Real Estate,REIT - Retail,
ALG,Alamo Group Inc.,Alamo Group,Industrials,Farm & Heavy Construction Machinery,
ALGM,"Allegro MicroSystems, Inc.",Allegro MicroSystems,Technology,Semiconductors,
ALGN,"Align Technology, Inc.",Align Technology,Healthcare,Medical Devices,
ALGT,Allegiant Travel Company,Allegiant Air,Industrials,Airlines,
ALHC,"Alignment Healthcare, Inc.",Alignment Healthcare,Healthcare,Healthcare Plans,
ALIM,"Alimera Sciences, Inc.",Alimera Sciences,Healthcare,Drug Manufacturers—Specialty & Generic,
ALIT,"Alight, Inc.",Alight,Technology,Software - Application,
ALK,"Alaska Air Group, Inc.",Alaska Airlines,Industrials,Airlines,
ALKT,"Alkami Technology, Inc.",Alkami Technology,Technology,Software - Application,
ALL,The Allstate Corporation,Allstate,Financial Services,Insurance - Property & Casualty,
ALLK,Allakos Inc.,Allakos,Healthcare,Biotechnology,
ALLO,"Allogene Therapeutics, Inc.",Allogene Therapeutics,Healthcare,Biotechnology,
ALLY,Ally Financial Inc.,Ally,Financial Services,Credit Services,
ALMS,Alumis Inc.,Alumis,Healthcare,Biotechnology,
ALNT,Allient Inc.,Allient,Technology,Electronic Components,
ALNY,"Alnylam Pharmaceuticals, Inc.",Alnylam Pharmaceuticals,Healthcare,Biotechnology,
ALPN,"Alpine Immune Sciences, Inc.",Alpine Immune Sciences,Healthcare,Biotechnology,
ALPSQ,"Alpine Summit Energy Partners, Inc.",Alpine Summit Energy Partners,,,
ALRM,"Alarm.com Holdings, Inc.",Alarm.com,Technology,Software - Application,
ALRN,"Aileron Therapeutics, Inc.",Aileron Therapeutics,Healthcare,Biotechnology,
ALRS,Alerus Financial Corporation,Alerus Financial,Financial Services,Banks—Regional,
ALSN,"Allison Transmission Holdings, Inc.",Allison Transmission,Consumer Cyclical,Auto Parts,
ALT,"Altimmune, Inc.",Altimmune,Healthcare,Biotechnology,
ALTG,Alta Equipment Group Inc.,Alta Equipment Group,Industrials,Rental & Leasing Services,
ALTI,"AlTi Global, Inc.",AlTi Global,Financial Services,Asset Management,
ALTM,Arcadium Lithium plc,Arcadium Lithium,Basic Materials,Specialty Chemicals,
ALTO,"Alto Ingredients, Inc.",Alto Ingredients,Basic Materials,Specialty Chemicals,
ALTR,Altair Engineering Inc.,Altair Engineering,Technology,Software - Infrastructure,
ALUR,Allurion Technologies Inc.,Allurion Technologies,Healthcare,Medical Devices,
ALVR,"AlloVir, Inc.",AlloVir,Healthcare,Biotechnology,
ALX,"Alexander's, Inc.",Alexander's,Real Estate,REIT - Retail,
ALXO,ALX Oncology Holdings Inc.,ALX Oncology,Healthcare,Biotechnology,
AM,Antero Midstream Corporation,Antero Midstream,Energy,Oil & Gas Midstream,
AMAL,Amalgamated Financial Corp.,Amalgamated Financial,Financial Services,Banks - Regional,
AMAT,"Applied Materials, Inc.",Applied Materials,Technology,Semiconductor Equipment & Materials,
AMBA,"Ambarella, Inc.",Ambarella,Technology,Semiconductor Equipment & Materials,
AMBC,"Ambac Financial Group, Inc.",Ambac,Financial Services,Insurance - Specialty,
AMC,"AMC Entertainment Holdings, Inc.",AMC Entertainment,Communication Services,Entertainment,
AMCX,AMC Networks Inc.,AMC Networks,Communication Services,Entertainment,
AMD,"Advanced Micro Devices, Inc.",AMD,Technology,Semiconductors,
AME,"AMETEK, Inc.",Ametek,Industrials,Specialty Industrial Machinery,
AMED,"Amedisys, Inc.",Amedisys,Healthcare,Medical Care Facilities,
AMG,"Affiliated Managers Group, Inc.",Affiliated Managers Group,Financial Services,Asset Management,
AMGN,Amgen Inc.,Amgen,Healthcare,Drug Manufacturers - General,
AMH,American Homes 4 Rent,AMH (American Homes 4 Rent),Real Estate,REIT - Residential,
AMK,"AssetMark Financial Holdings, Inc.",AssetMark,Financial Services,Asset Management,
AMKR,"Amkor Technology, Inc.",Amkor Technology,Technology,Semiconductor Equipment & Materials,
AMLX,"Amylyx Pharmaceuticals, Inc.",Amylyx Pharmaceuticals,Healthcare,Biotechnology,
AMN,"AMN Healthcare Services, Inc.",AMN Healthcare Services,Healthcare,Medical Care Facilities,
AMP,"Ameriprise Financial, Inc.",Ameriprise Financial,Financial Services,Asset Management,
AMPE,"Ampio Pharmaceuticals, Inc.",Ampio Pharmaceuticals,Healthcare,Biotechnology,
AMPH,"Amphastar Pharmaceuticals, Inc.",Amphastar Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,
AMPL,"Amplitude, Inc.",Amplitude,Technology,Software - Application,
AMPS,"Altus Power, Inc.",Altus Power,Utilities,Utilities - Renewable,
AMPX,"Amprius Technologies, Inc.",Amprius Technologies,Industrials,Electrical Equipment & Parts,
AMPY,Amplify Energy Corp.,Amplify Energy,Energy,Oil & Gas E&P,
AMR,"Alpha Metallurgical Resources, Inc.",Alpha Metallurgical Resources,Basic Materials,Coking Coal,
AMRC,"Ameresco, Inc.",Ameresco,Industrials,Engineering & Construction,
AMRK,"A-Mark Precious Metals, Inc.",A-Mark Precious Metals,Financial Services,Capital Markets,
AMRX,"Amneal Pharmaceuticals, Inc.",Amneal Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,
AMSF,"AMERISAFE, Inc.",AMERISAFE,Financial Services,Insurance - Specialty,
AMSWA,"American Software, Inc.",American Software,Technology,Software—Application,
AMT,American Tower Corporation,American Tower,Real Estate,REIT - Specialty,
AMTB,Amerant Bancorp Inc.,Amerant Bancorp,Financial Services,Banks - Regional,
AMTX,"Aemetis, Inc.",Aemetis,Energy,Oil & Gas Refining & Marketing,
AMWD,American Woodmark Corporation,American Woodmark,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
AMWL,American Well Corporation,American Well,Healthcare,Health Information Services,
AMZN,"Amazon.com, Inc.",Amazon,Consumer Cyclical,Internet Retail,
AN,"AutoNation, Inc.",AutoNation,Consumer Cyclical,Auto & Truck Dealerships,
ANAB,"AnaptysBio, Inc.",AnaptysBio,Healthcare,Biotechnology,
ANDE,"The Andersons, Inc.",The Andersons,Consumer Defensive,Food Distribution,
ANET,"Arista Networks, Inc.",Arista Networks,Technology,Computer Hardware,
ANF,Abercrombie & Fitch Co.,Abercrombie &amp; Fitch,Consumer Cyclical,Apparel Retail,
ANGI,Angi Inc.,ANGI Homeservices,Communication Services,Internet Content & Information,
ANGO,"AngioDynamics, Inc.",AngioDynamics,Healthcare,Medical Instruments & Supplies,
ANIK,"Anika Therapeutics, Inc.",Anika Therapeutics,Healthcare,Medical Instruments & Supplies,
ANIP,"ANI Pharmaceuticals, Inc.",ANI Pharmaceuticals,Healthcare,Drug Manufacturers - Specialty & Generic,
ANIX,"Anixa Biosciences, Inc.",Anixa Biosciences,Healthcare,Biotechnology,
ANNX,"Annexon, Inc.",Annexon,Healthcare,Biotechnology,
ANRO,,Alto Neuroscience,Healthcare,Biotechnology,
ANSS,"ANSYS, Inc.",Ansys,Technology,Software - Application,
ANTX,"AN2 Therapeutics, Inc.",AN2 Therapeutics,Healthcare,Biotechnology,
ANVS,"Annovis Bio, Inc.",Annovis Bio,Healthcare,Biotechnology,
AOMR,"Angel Oak Mortgage REIT, Inc.",Angel Oak REIT,Real Estate,REIT—Mortgage,
AORT,"Artivion, Inc.",Artivion,Healthcare,Medical Devices,
AOS,A. O. Smith Corporation,A. O. Smith,Industrials,Specialty Industrial Machinery,
AOSL,Alpha and Omega Semiconductor Limited,Alpha &amp; Omega Semiconductor,Technology,Semiconductors,
APA,APA Corporation,Apache Corporation,Energy,Oil & Gas E&P,
APAM,Artisan Partners Asset Management Inc.,Artisan Partners,Financial Services,Asset Management,
APCX,AppTech Payments Corp.,AppTech Payments,Technology,Software—Infrastructure,
APD,"Air Products and Chemicals, Inc.",Air Products and Chemicals,Basic Materials,Specialty Chemicals,
APDN,"Applied DNA Sciences, Inc.",Applied DNA Sciences,Healthcare,Diagnostics & Research,
APEI,"American Public Education, Inc.",American Public Education,Consumer Defensive,Education & Training Services,
APG,APi Group Corporation,APi Group,Industrials,Engineering & Construction,
APGE,"Apogee Therapeutics, Inc.",Apogee Therapeutics,Healthcare,Biotechnology,
APH,Amphenol Corporation,Amphenol,Technology,Electronic Components,
APLD,Applied Digital Corporation,Applied Blockchain,Technology,Information Technology Services,
APLE,"Apple Hospitality REIT, Inc.",Apple Hospitality REIT,Real Estate,REIT - Hotel & Motel,
APLS,"Apellis Pharmaceuticals, Inc.",Apellis Pharmaceuticals,Healthcare,Biotechnology,
APLT,"Applied Therapeutics, Inc.",Applied Therapeutics,Healthcare,Biotechnology,
APO,"Apollo Global Management, Inc.",Apollo Global Management,Financial Services,Asset Management,
APOG,"Apogee Enterprises, Inc.",Apogee Enterprises,Industrials,Building Products & Equipment,
APP,AppLovin Corporation,AppLovin,Technology,Software - Application,
APPF,"AppFolio, Inc.",AppFolio,Technology,Software - Application,
APPN,Appian Corporation,Appian,Technology,Software - Infrastructure,
APPS,"Digital Turbine, Inc.",Digital Turbine,Technology,Software—Application,
APRE,"Aprea Therapeutics, Inc.",Aprea Therapeutics,Healthcare,Biotechnology,
APYX,Apyx Medical Corporation,Apyx Medical,Healthcare,Medical Devices,
AQB,"AquaBounty Technologies, Inc.",AquaBounty,Consumer Defensive,Farm Products,
AQST,"Aquestive Therapeutics, Inc.",Aquestive Therapeutics,Healthcare,Drug Manufacturers—Specialty & Generic,
AR,Antero Resources Corporation,Antero Resources,Energy,Oil & Gas E&P,
AR.TO,Argonaut Gold Inc.,Argonaut Gold,Basic Materials,Gold,
ARAY,Accuray Incorporated,Accuray,Healthcare,Medical Devices,
ARC,"ARC Document Solutions, Inc.",ARC Document Solutions,Industrials,Specialty Business Services,
ARCB,ArcBest Corporation,ArcBest,Industrials,Trucking,
ARCC,Ares Capital Corporation,Ares Capital,Financial Services,Asset Management,
ARCH,"Arch Resources, Inc.",Arch Resources,Basic Materials,Coking Coal,
ARCT,Arcturus Therapeutics Holdings Inc.,Arcturus Therapeutics,Healthcare,Biotechnology,
ARDX,"Ardelyx, Inc.",Ardelyx,Healthcare,Biotechnology,
ARE,"Alexandria Real Estate Equities, Inc.",Alexandria Real Estate Equities,Real Estate,REIT - Office,
AREC,American Resources Corporation,American Resources Corp,Basic Materials,Coking Coal,
AREN,"The Arena Group Holdings, Inc.",The Arena Group,Communication Services,Internet Content & Information,
ARES,Ares Management Corporation,Ares Management,Financial Services,Asset Management,
ARHS,"Arhaus, Inc.",Arhaus,Consumer Cyclical,Home Improvement Retail,
ARI,"Apollo Commercial Real Estate Finance, Inc.",Apollo Commercial Real Estate,Real Estate,REIT - Mortgage,
ARIS,"Aris Water Solutions, Inc.",Aris Water Solutions,Utilities,Utilities - Regulated Water,
ARKO,Arko Corp.,Arko,Consumer Cyclical,Specialty Retail,
ARL,"American Realty Investors, Inc.",American Realty Investors,Real Estate,Real Estate Services,
ARLO,"Arlo Technologies, Inc.",Arlo Technologies,Industrials,Building Products & Equipment,
ARLP,"Alliance Resource Partners, L.P.",Alliance Resource Partners,Energy,Thermal Coal,
ARMK,Aramark,Aramark,Industrials,Specialty Business Services,
ARMP,"Armata Pharmaceuticals, Inc.",Armata Pharmaceuticals,Healthcare,Biotechnology,
AROC,"Archrock, Inc.",Archrock,Energy,Oil & Gas Equipment & Services,
AROW,Arrow Financial Corporation,Arrow Financial,Financial Services,Banks—Regional,
ARQT,"Arcutis Biotherapeutics, Inc.",Arcutis Biotherapeutics,Healthcare,Biotechnology,
ARR,"ARMOUR Residential REIT, Inc.",ARMOUR Residential REIT,Real Estate,REIT - Mortgage,
ARRY,"Array Technologies, Inc.",Array Technologies,Technology,Solar,
ARTNA,Artesian Resources Corporation,Artesian Resources,Utilities,Utilities—Regulated Water,
ARVN,"Arvinas, Inc.",Arvinas,Healthcare,Biotechnology,
ARW,"Arrow Electronics, Inc.",Arrow Electronics,Technology,Electronics & Computer Distribution,
ARWR,"Arrowhead Pharmaceuticals, Inc.",Arrowhead Pharmaceuticals,Healthcare,Biotechnology,
ASA,ASA Gold and Precious Metals Limited,ASA Gold and Precious Metals,Financial Services,Asset Management,
ASAN,"Asana, Inc.",Asana,Technology,Software - Application,
ASB,Associated Banc-Corp,Associated Banc-Corp,Financial Services,Banks - Regional,
ASGN,ASGN Incorporated,ASGN,Technology,Information Technology Services,
ASH,Ashland Inc.,Ashland,Basic Materials,Specialty Chemicals,
ASIX,AdvanSix Inc.,AdvanSix,Basic Materials,Chemicals,
ASLE,AerSale Corporation,AerSale,Industrials,Airports & Air Services,
ASNS,"Actelis Networks, Inc.",Actelis Networks,Technology,Communication Equipment,
ASO,"Academy Sports and Outdoors, Inc.",Academy Sports,Consumer Cyclical,Specialty Retail,
ASPI,ASP Isotopes Inc.,ASP Isotopes,Basic Materials,Chemicals,
ASPN,"Aspen Aerogels, Inc.",Aspen Aerogels,Industrials,Building Products & Equipment,
ASRT,"Assertio Holdings, Inc.",Assertio Therapeutics,Healthcare,Drug Manufacturers—Specialty & Generic,
ASST,Asset Entities Inc.,Asset Entities,Communication Services,Internet Content & Information,
ASTC,Astrotech Corporation,Astrotech,Industrials,Aerospace & Defense,
ASTE,"Astec Industries, Inc.",Astec Industries,Industrials,Farm & Heavy Construction Machinery,
ASTH,"Astrana Health, Inc.",Astrana Health,Healthcare,Medical Care Facilities,
ASTI,"Ascent Solar Technologies, Inc.",Ascent Solar Technologies,Technology,Solar,
ASTR,"Astra Space, Inc.",Astra Space,Industrials,Aerospace & Defense,
ASTS,"AST SpaceMobile, Inc.",AST SpaceMobile,Technology,Communication Equipment,
ASUR,"Asure Software, Inc.",Asure Software,Technology,Software—Application,
ASXC,"Asensus Surgical, Inc.",Asensus Surgical,Healthcare,Medical Devices,
ASYS,"Amtech Systems, Inc.",Amtech Systems,Technology,Semiconductor Equipment & Materials,
ATEN,"A10 Networks, Inc.",A10 Networks,Technology,Software - Infrastructure,
ATER,"Aterian, Inc.",Aterian,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
ATEX,Anterix Inc.,Anterix,Communication Services,Telecom Services,
ATGE,Adtalem Global Education Inc.,Adtalem Global Education,Consumer Defensive,Education & Training Services,
ATHA,"Athira Pharma, Inc.",Athira Pharma,Healthcare,Biotechnology,
ATI,ATI Inc.,Allegheny Technologies,Industrials,Metal Fabrication,
ATIP,"ATI Physical Therapy, Inc.",ATI Physical Therapy,Healthcare,Medical Care Facilities,
ATKR,Atkore Inc.,Atkore,Industrials,Electrical Equipment & Parts,
ATLC,Atlanticus Holdings Corporation,Atlanticus,Financial Services,Credit Services,
ATLO,Ames National Corporation,Ames National Corp.,Financial Services,Banks—Regional,
ATLX,Atlas Lithium Corporation,Atlas Lithium,Basic Materials,Other Precious Metals & Mining,
ATMU,Atmus Filtration Technologies Inc.,Atmus Filtration Technologies,Industrials,Pollution & Treatment Controls,
ATNF,180 Life Sciences Corp.,180 Life Sciences,Healthcare,Biotechnology,
ATNI,"ATN International, Inc.",ATN International,Communication Services,Telecom Services,
ATNM,"Actinium Pharmaceuticals, Inc.",Actinium Pharmaceuticals,Healthcare,Biotechnology,
ATO,Atmos Energy Corporation,Atmos Energy,Utilities,Utilities - Regulated Gas,
ATOM,Atomera Incorporated,Atomera,Technology,Semiconductor Equipment & Materials,
ATOS,"Atossa Therapeutics, Inc.",Atossa Therapeutics,Healthcare,Biotechnology,
ATR,"AptarGroup, Inc.",AptarGroup,Healthcare,Medical Instruments & Supplies,
ATRA,"Atara Biotherapeutics, Inc.",Atara Biotherapeutics,Healthcare,Biotechnology,
ATRC,"AtriCure, Inc.",AtriCure,Healthcare,Medical Instruments & Supplies,
